address,level,gainzPoints,Yuzu
0x9f270ecbb2f1291b5f85e4bd896e69d66cf4092e,Diamond 💎,15724.391858958435,60590.49004053029
0x0cb6c036b411b30a04424a35aa3ab83602ab4633,Diamond 💎,12199.861560758116,57399.55146868761
0x6ef942d16f120c81b09452fa7919ed42b6fca62c,Diamond 💎,5936.179054916891,51728.71750823885
0x546fa71bdaf724f68d9ad7a5917b050f252503db,Diamond 💎,5460.807778581305,51298.33943988181
0x3488a46e599b20b4d0812e8d9d3f3b0e2dd0ccd2,Diamond 💎,2621.467178989868,48727.73834660663
0x1bd5371940f7d032381a2da7f7e651f4e398fdb2,Diamond 💎,2325.255440414601,48459.56262329535
0x0d18c17aef629f4ea57c6d1372695a7641204925,Diamond 💎,1305.4407072543709,47536.27188868709
0x9a9bf95c4bbe82705151879fab44c29a3d126acf,Diamond 💎,1238.7101474224398,47475.85728042082
0x86486335295f0df2e4f1c93fa3cc352c5ea2340a,Diamond 💎,1194.0955962948442,47435.46543242588
0x6d3fb03cc874155ea1844052efc2def432c84ca5,Diamond 💎,1159.2719298597015,47403.93777596124
0x49d8d8a61a7807a8cc78b42a34fa223014518863,Diamond 💎,1036.9037460263494,47293.15156482849
0xdae47aef15aa77ab6db2fb70bf3319c980c8176e,Diamond 💎,780.528561190968,47061.04192270902
0x3b293ff64d4cb0ddd27e08e393a7aaca536d2e50,Diamond 💎,688.9031807283288,46978.088752799464
0xdad8513017f9c66316e650953a2eb775867ab54f,Diamond 💎,521.1896865155699,46826.249099732704
0x19e2a3c0ad0d0a3892514b38398788995e3b5d83,Diamond 💎,499.60358113365163,46806.70608819605
0x3f478bf7c578767048ddb7c23c9f24bb1e0ca34a,Diamond 💎,432.28777204808534,46745.76162367673
0xad198b1852d2a46462282a8d576218b715c06ff7,Diamond 💎,414.4195428814404,46729.58459671587
0x10546b8246ee5a4c292eaf3e4a218cc87c5af431,Diamond 💎,321.40805885377574,46645.37651595125
0xff592e7633b037077137ae11fc5e2263b3934da5,Diamond 💎,318.7931476998498,46643.00910237921
0x64fed342b7afb2e666152173fad1401861d96eb4,Diamond 💎,306.52019342181234,46631.89776558172
0x0cb42ca590f632da35a1d8ecc79f5a57839c65e2,Diamond 💎,253.81177546265434,46584.17812361622
0x93e4ce737494ca40fcbb45287747a4cb4edae8be,Diamond 💎,228.23615984978792,46561.02320325722
0x3a425268663003c3f23c70ea9ce5730f3ef60f29,Diamond 💎,225.36694160852204,46558.425552398105
0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,Diamond 💎,199.73041377290528,46535.21548507068
0xe7a3de8f8e8f530b597cb512cc4e0d3f878811ca,Diamond 💎,146.35374130681672,46486.89083792674
0x315963e514d6c7d86538607919d02b76b053df64,Diamond 💎,140.33612391699913,46481.44277937279
0xbd94ab380c5d6e25845e993df6a476191385fb87,Diamond 💎,124.2682022062589,46466.895663355
0x4f80b5c475fced34fc9a07ffccf39e1adc1406bf,Diamond 💎,113.19341145819568,46456.86908563168
0x607c77eadb523bbdd3249b87697626fa18ab0cac,Diamond 💎,108.16619155079341,46452.31768486209
0xc9065dee6b536a0ac36ef02bb724f64fc445ea37,Diamond 💎,99.65341608784179,46444.610631359945
0x947cea56b9821f07efb23b16ea5add57b1c13d11,Diamond 💎,99.09841666654616,46444.10816183609
0xd22c830ed8c964fb36af559b10d935fa652be9cf,Diamond 💎,96.01202227997575,46441.31389024165
0xa27fc39b5b92196506f5a78ec62a447e7b332769,Platinum 🌟,90.20025462951995,21816.58719026167
0xa01c87fbf7e6d84aa83d1946a6d54d4efe288cab,Platinum 🌟,90.03824999989051,21781.103620952315
0x3462ff5e096e30f69a5b1e9e3c6a3107e8bf2309,Platinum 🌟,88.90121527766968,21532.061044420057
0xb2ce6799a717860343248ee802bcdddf1906e959,Platinum 🌟,86.31727141193207,20966.10467970929
0xd10d8e41e5eddb532aef22ffb9991a9a5c88c989,Platinum 🌟,75.00974421287175,18489.43826589711
0x7437b84889af87a60fe1f40d691da4becce0ae1e,Platinum 🌟,68.6670775462128,17100.215915972036
0xb6593f3df0cadc2dc4c61208429e4ec4059404b5,Platinum 🌟,64.5567933824428,16199.948106713162
0x59135626fcf493782caca537048322c1de0b4667,Platinum 🌟,63.5558300498561,15980.70899071254
0x9f7e343a80fb7bf66171b74cc2f3c76584acfe60,Platinum 🌟,63.53029513881164,15975.116127175694
0x792c061d53584274f8c215d8feb836fcac9a6317,Platinum 🌟,57.40931018511537,14634.448305874408
0xeeca2eee9d6c895267dec9fc1c8e1e62c99e79b6,Platinum 🌟,54.512197512321315,13999.899166400754
0x71ef631989f6619c23cca02ed8c424fdb678646b,Platinum 🌟,45.79188657401839,12089.90586382541
0x6e09cfea206bda77a94ac5f33e2998b7398b5935,Platinum 🌟,45.77584490735175,12086.392287748567
0xfe0d85c9b2318982624244a5bb68fb5513da7bdf,Platinum 🌟,45.75263888883325,12081.309517161217
0xaf846b19474208f1a2e1d948f4d7fdd81f404a42,Platinum 🌟,45.733310185129575,12077.075987544818
0xfdbf94476879e053b79baa9ddb281ce083d65a46,Platinum 🌟,45.732060185129576,12076.802202395975
0xeb25ba06d9d671b9561a92528afe33016c5d1061,Platinum 🌟,45.091728324921924,11936.551519470182
0xe82b503dae1c61ebf0caa2d68435b94e22767562,Platinum 🌟,43.69978491635649,11631.676772831703
0x9e63f1708d61acb62d743f8c7cb90d95616ff641,Platinum 🌟,35.825781249956435,9907.048560181678
0x61e3cef3bc04e141ea2a03a62cd9293d16c82344,Platinum 🌟,34.868207175883526,9697.312911861438
0x308458f38cc45968015a88a4188e9afc3450adc7,Platinum 🌟,32.47903961595653,9174.018035052959
0x4b2f3d3bc39ec1c71bc1df9f18e0b44590def7ff,Platinum 🌟,31.42172685181364,8942.436809047576
