walletAddress,userPoint,userLevel,userLevelPosition,userLevelRange,userPosition
0x9a9bf95c4bbe82705151879fab44c29a3d126acf,1238.7101474224398,Diamond 💎,1.49,5,60
0x86486335295f0df2e4f1c93fa3cc352c5ea2340a,1194.0955962948442,Diamond 💎,1.43,5,61
0x6d3fb03cc874155ea1844052efc2def432c84ca5,1159.2719298597015,Diamond 💎,1.37,5,62
0x49d8d8a61a7807a8cc78b42a34fa223014518863,1036.9037460263494,Diamond 💎,1.31,5,63
0xdae47aef15aa77ab6db2fb70bf3319c980c8176e,780.528561190968,Diamond 💎,1.25,5,64
0x3b293ff64d4cb0ddd27e08e393a7aaca536d2e50,688.9031807283288,Diamond 💎,1.13,5,66
0xdad8513017f9c66316e650953a2eb775867ab54f,521.1896865155699,Diamond 💎,1.07,5,67
0x19e2a3c0ad0d0a3892514b38398788995e3b5d83,499.60358113365163,Diamond 💎,1.01,5,68
0x3f478bf7c578767048ddb7c23c9f24bb1e0ca34a,432.28777204808534,Diamond 💎,0.95,5,69
0xad198b1852d2a46462282a8d576218b715c06ff7,414.4195428814404,Diamond 💎,0.9,5,70
0x10546b8246ee5a4c292eaf3e4a218cc87c5af431,321.40805885377574,Diamond 💎,0.84,5,71
0xff592e7633b037077137ae11fc5e2263b3934da5,318.7931476998498,Diamond 💎,0.78,5,72
0x64fed342b7afb2e666152173fad1401861d96eb4,306.52019342181234,Diamond 💎,0.72,5,73
0x0cb42ca590f632da35a1d8ecc79f5a57839c65e2,253.81177546265434,Diamond 💎,0.66,5,74
0x93e4ce737494ca40fcbb45287747a4cb4edae8be,228.23615984978792,Diamond 💎,0.6,5,75
0x3a425268663003c3f23c70ea9ce5730f3ef60f29,225.36694160852204,Diamond 💎,0.54,5,76
0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,199.73041377290528,Diamond 💎,0.48,5,77
0xe7a3de8f8e8f530b597cb512cc4e0d3f878811ca,146.35374130681672,Diamond 💎,0.42,5,78
0x315963e514d6c7d86538607919d02b76b053df64,140.33612391699913,Diamond 💎,0.36,5,79
0xbd94ab380c5d6e25845e993df6a476191385fb87,124.2682022062589,Diamond 💎,0.3,5,80
0x4f80b5c475fced34fc9a07ffccf39e1adc1406bf,113.19341145819568,Diamond 💎,0.24,5,81
0x607c77eadb523bbdd3249b87697626fa18ab0cac,108.16619155079341,Diamond 💎,0.18,5,82
0xc9065dee6b536a0ac36ef02bb724f64fc445ea37,99.65341608784179,Diamond 💎,0.12,5,83
0x947cea56b9821f07efb23b16ea5add57b1c13d11,99.09841666654616,Diamond 💎,0.06,5,84
0xd22c830ed8c964fb36af559b10d935fa652be9cf,96.01202227997575,Diamond 💎,0,5,85
0xa27fc39b5b92196506f5a78ec62a447e7b332769,90.20025462951995,Platinum 🌟,9.94,10,86
0xa01c87fbf7e6d84aa83d1946a6d54d4efe288cab,90.03824999989051,Platinum 🌟,9.88,10,87
0x3462ff5e096e30f69a5b1e9e3c6a3107e8bf2309,88.90121527766968,Platinum 🌟,9.82,10,88
0xb2ce6799a717860343248ee802bcdddf1906e959,86.31727141193207,Platinum 🌟,9.77,10,89
0xd10d8e41e5eddb532aef22ffb9991a9a5c88c989,75.00974421287175,Platinum 🌟,9.71,10,90
0x7437b84889af87a60fe1f40d691da4becce0ae1e,68.6670775462128,Platinum 🌟,9.65,10,91
0xb6593f3df0cadc2dc4c61208429e4ec4059404b5,64.5567933824428,Platinum 🌟,9.59,10,92
0x59135626fcf493782caca537048322c1de0b4667,63.5558300498561,Platinum 🌟,9.53,10,93
0x9f7e343a80fb7bf66171b74cc2f3c76584acfe60,63.53029513881164,Platinum 🌟,9.47,10,94
0x792c061d53584274f8c215d8feb836fcac9a6317,57.40931018511537,Platinum 🌟,9.41,10,95
0xeeca2eee9d6c895267dec9fc1c8e1e62c99e79b6,54.512197512321315,Platinum 🌟,9.35,10,96
0x71ef631989f6619c23cca02ed8c424fdb678646b,45.79188657401839,Platinum 🌟,9.29,10,97
0x6e09cfea206bda77a94ac5f33e2998b7398b5935,45.77584490735175,Platinum 🌟,9.23,10,98
0xfe0d85c9b2318982624244a5bb68fb5513da7bdf,45.75263888883325,Platinum 🌟,9.17,10,99
0xaf846b19474208f1a2e1d948f4d7fdd81f404a42,45.733310185129575,Platinum 🌟,9.11,10,100
0xfdbf94476879e053b79baa9ddb281ce083d65a46,45.732060185129576,Platinum 🌟,9.05,10,101
0xeb25ba06d9d671b9561a92528afe33016c5d1061,45.091728324921924,Platinum 🌟,8.99,10,102
0xe82b503dae1c61ebf0caa2d68435b94e22767562,43.69978491635649,Platinum 🌟,8.93,10,103
0x9e63f1708d61acb62d743f8c7cb90d95616ff641,35.825781249956435,Platinum 🌟,8.87,10,104
0x61e3cef3bc04e141ea2a03a62cd9293d16c82344,34.868207175883526,Platinum 🌟,8.81,10,105
0x308458f38cc45968015a88a4188e9afc3450adc7,32.47903961595653,Platinum 🌟,8.75,10,106
0x4b2f3d3bc39ec1c71bc1df9f18e0b44590def7ff,31.42172685181364,Platinum 🌟,8.69,10,107
0x2f024b3eccfe52150e55a147ff4b3fc8640871b5,30.388841112589784,Platinum 🌟,8.63,10,108
0xd32820e093df01d8c2643b6a5b187b8c2b8644bc,29.544104166630742,Platinum 🌟,8.58,10,109
0x4aa4a02708b5a191cd9f42d6c3a99385b180610c,29.453081952883295,Platinum 🌟,8.52,10,110
0x2d334256bb88d2488bfb582ac757b109edbb66bc,29.021704293943586,Platinum 🌟,8.46,10,111
0xaa7793947692f5e606b648602e6c313e91aa6c88,27.84506255780713,Platinum 🌟,8.4,10,112
0xf7dcc97e4158c756345b7202025648d5ac11cdf4,25.8142827232603,Platinum 🌟,8.34,10,113
0xbc67cfffaddd07bcbb784369994496d130ba7956,25.227199074043398,Platinum 🌟,8.28,10,114
0x692e40c72f537f105b9ba2cebfdcf966f4e41948,23.496915509230686,Platinum 🌟,8.22,10,115
0x8afe92dca564480fef01ca00a50162ecf7984f69,22.880871527749953,Platinum 🌟,8.16,10,116
0x1317e00095313c3d297e8d16dd5835dd4f2cc602,22.40747106478757,Platinum 🌟,8.1,10,117
0x60f29a2cc63496bbcddcdeb77781959ebeea5497,22.351695601824673,Platinum 🌟,8.04,10,118
0x3185b473918ac7f6bf13400489cd696d45f1ec18,21.06235820383502,Platinum 🌟,7.98,10,119
0xde6785b0574e5867366d9e1732f968eac8b333bc,19.399710648124557,Platinum 🌟,7.92,10,120
0xb8f6484da877ce8268453d26d4b649b7c7946206,17.03468325567621,Platinum 🌟,7.86,10,121
0xf627f04aada6ad8878a0c4928a91ff3e5116a2d9,16.907813657386846,Platinum 🌟,7.8,10,122
0xa71e54202d9bca276119d283f51bda5051c0abb4,16.516161342751033,Platinum 🌟,7.74,10,123
0x5270c21628ef9b2031617ec8a73a5e98fe6b1d39,16.079716435165633,Platinum 🌟,7.68,10,124
0xa8d032262775d08bb5f6d6e1cc7d2ac91bf7c2d3,12.603029513873564,Platinum 🌟,7.62,10,125
0x80d6acbc3b928a69eace83c0d5714e03e5b55ef7,12.292575231466534,Platinum 🌟,7.56,10,126
0x6c492c42393e1561d690e0453ccb94f15def587d,11.988405671281718,Platinum 🌟,7.5,10,127
0x7d45259d6b8de5100aa2338f70d525f147d66ddf,11.70843865739317,Platinum 🌟,7.44,10,128
0xe98b886aa448d585067087d5159792266e1df0e7,10.395186342579953,Platinum 🌟,7.39,10,129
0x51de402d4a0d23bed2bbdbc0257c65d146049a26,10.283711805543051,Platinum 🌟,7.33,10,130
0x0767e02552f1071ad924b982a60bbaf2e56164ce,10.236921296283848,Platinum 🌟,7.27,10,131
0x492828bd90d503863c74fcb05765d207cfeebea5,10.054155092580366,Platinum 🌟,7.21,10,132
0x17f439241132e182c2ca65e278579b3b8ab1660b,9.881228726839026,Platinum 🌟,7.15,10,133
0x4e1926d10817b2ac8a8dd5ed0b7fe7649bc50dac,9.496319444432897,Platinum 🌟,7.09,10,134
0x10fb1560037db5e360e8883d023b4ff7a33db8a8,8.991651909710374,Platinum 🌟,7.03,10,135
0x7dc0323c7438a9c991a26c24c050d320d9e19790,7.7395868055461445,Platinum 🌟,6.97,10,136
0xa152f0a489e520b81ca719df139782266effdae0,7.241658992065385,Platinum 🌟,6.91,10,137
0x048a0f98a58fe4db9ac4c49610783537ad2e3495,7.090242129620808,Platinum 🌟,6.85,10,138
0xa9687f086031c2e2d0ce3c088c41b5f6feb305f5,6.593295487191537,Platinum 🌟,6.79,10,139
0xf497f034ad1382090ff9c4817076fc87804f7402,5.98557679881012,Platinum 🌟,6.73,10,140
0xd216f9ea4086752bd3c65f5e6c617d7e9382d73f,5.78753314612195,Platinum 🌟,6.67,10,141
0xa4256ce0ee2b1679a93395b88033ea26f1ff11d4,5.134837091331983,Platinum 🌟,6.61,10,142
