address,amount,reasonCode
0x39f4da389fef57165bd470eb422c755e271f785b,276586.10677379975,Season0_dapp_gainzswap
0x2dd9ad9bb61a7e06fa0b2c7b0f89904e586f6e82,256816.47962254175,Season0_dapp_gainzswap
0x688276dcc72bb758dd5996ebdd47999ac9f44cd7,238219.71696684393,Season0_dapp_gainzswap
0x88fc2e37012fa5b3a4d536f51cc5bdc0bf8bb633,238015.0128181466,Season0_dapp_gainzswap
0x276cfb19281347a1740fe75649656a1597d710fc,146443.11629797827,Season0_dapp_gainzswap
0x301233376b5dfdb9985c4ae3d85194f848b10ccb,146416.57312356596,Season0_dapp_gainzswap
0xc40cec36f2a8d22cda4f304b1ba188c6f49444ae,146403.8524950171,Season0_dapp_gainzswap
0xb21cf2ba6aaf97c561ffb2acfd8dab128eecfa21,146402.62009575847,Season0_dapp_gainzswap
0xb3b4d148e256b76f24c232459169a1db75d8cb87,146399.5981048281,Season0_dapp_gainzswap
0xe02f484c886626e511e9e3c601aff638d401618c,146385.10236234634,Season0_dapp_gainzswap
0xb78fc9dc9476d8679b2eb11e2c660ed3d6a020db,146364.1550160562,Season0_dapp_gainzswap
0x8cc540fa4fdca1735219e44731bb8bb57379be29,146350.84197482144,Season0_dapp_gainzswap
0x982e645dc94083f18f9ec956f6d4645361538a84,146308.13948135736,Season0_dapp_gainzswap
0x32996a83e94b5a11316a703a2429c4026aea4b02,145259.7806275516,Season0_dapp_gainzswap
0x98f61420e193fed1543a786835032bc152f8717a,136946.3916605873,Season0_dapp_gainzswap
0x3f96109fe009be97e21bfbdc623bb40e7c76a2f7,136891.43100582657,Season0_dapp_gainzswap
0xa5f1fda4aad788b5c8b75edc99987bb03ab33592,136814.08973442283,Season0_dapp_gainzswap
0x3e9a6fd40ee68db283e80a8e7440418e9281633e,136777.59420006472,Season0_dapp_gainzswap
0x448f3f571afcb5eda691486b5febc2735ad5b239,136738.7672873134,Season0_dapp_gainzswap
0xa76d3f68b9943efdbb9302601bee8dc943b99506,136667.1420167081,Season0_dapp_gainzswap
0x56e31ae0f71f358d288f6f16878147fb46ddbcfd,136611.55339524924,Season0_dapp_gainzswap
0xfdf090788a65d4fd1299d29279c648bee1ecf77b,136566.97215906862,Season0_dapp_gainzswap
0x8883f0d926235d23df0cb15edb883d611761d617,136519.7654179365,Season0_dapp_gainzswap
0xabe5541bb7447ed4e11a2bafed1c815ac13d4970,136432.0563929494,Season0_dapp_gainzswap
0xe777c3db49e62aa87279e299ff4e62f25902c616,126295.38655936581,Season0_dapp_gainzswap
